State,State_Abbr,EV_Count,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,total_population,total_population_moe,median_household_income,median_household_income_moe,per_capita_income,per_capita_income_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,poverty_rate,aggregate_travel_time_minutes,aggregate_travel_time_minutes_moe,workers_with_commute,workers_with_commute_moe,average_commute_time,Regular_Gas_Price,Mid_Grade_Gas_Price,Premium_Gas_Price,Diesel_Gas_Price,Gas_Price_Date,Station_Count,Stations_With_Nearest_Neighbor,Average_Nearest_Station_Distance_Miles,Median_Nearest_Station_Distance_Miles,Min_Nearest_Station_Distance_Miles,Max_Nearest_Station_Distance_Miles,EVs_Per_100k_People,Charging_Stations_Per_100k_People,EVs_Per_Charging_Station,DC_Fast_Charger_Share,Public_Station_Share
Kentucky,KY,11617,409,824,422,381,28,4502935,NA,60183,443,33515,209,4372749,1269,704758,11207,16.11704673650374,43874500,339555,1835303,7988,23.90586186586084,4.318,4.867,5.295,5.371,5/7/26,409,409,1.67,0.39,0,30.57,257.987290511633,9.082964777417395,28.403422982885086,33.86837881219904,93.15403422982885
Louisiana,LA,8150,326,589,382,275,51,4640546,NA,57852,468,32981,265,4513793,1758,842038,13427,18.654776592546447,48590975,384117,1870919,9128,25.971714970022752,4.023,4.462,4.845,5.139,5/7/26,326,326,1.75,0.35,0,37.44,175.6258854022781,7.025035416091124,25,39.34088568486097,84.3558282208589
Maine,ME,7377,683,1279,412,656,27,1366949,NA,68251,611,39718,394,1329454,587,145491,4297,10.943665595048795,14349275,177381,587492,3670,24.424630463053113,4.539,5.074,5.542,5.811,5/7/26,683,683,0.75,0.1,0,28.58,539.6690000870552,49.96528765886657,10.800878477306004,24.364281490242462,96.04685212298682
Maryland,MD,72139,1823,4592,1463,1677,146,6161707,NA,98461,511,49865,225,6034320,1972,558567,12491,9.25650280396134,84650040,434310,2646267,10474,31.98847281850244,4.489,5.019,5.351,5.644,5/7/26,1823,1823,0.4,0.11,0,10.93,1170.7632316823892,29.585957268010308,39.571585298957764,24.161849710982658,91.99122325836534
Massachusetts,MA,73768,4505,9991,1853,4253,252,6984205,NA,96505,551,53513,287,6772292,1548,672361,11769,9.9281159170337,90231105,461562,3068880,9678,29.401965863767888,4.461,4.989,5.38,5.825,5/7/26,4505,4505,0.16,0.01,0,6.45,1056.2118379973097,64.5026885665584,16.37469478357381,15.645052347180007,94.40621531631521
Michigan,MI,50284,2122,4314,1625,2010,112,10057921,NA,68505,307,37929,155,9845242,1606,1293164,13321,13.13491329111057,101384605,438980,4141683,12295,24.47908374445847,4.781,5.384,5.939,5.982,5/7/26,2122,2122,1.14,0.1,0,955.5,499.9442727776446,21.097799435887396,23.69651272384543,27.361508671493517,94.7219604147031
Minnesota,MN,37050,1174,2294,1000,1129,45,5695292,NA,84313,348,44947,204,5574039,1507,516284,8477,9.262296155444911,59047540,291916,2534151,7868,23.300718860083713,4.215,4.623,5.119,5.441,5/7/26,1174,1174,1.11,0.14,0,57.1,650.5373210012762,20.613517270053933,31.5587734241908,30.358227079538555,96.16695059625214
Mississippi,MS,3590,249,451,334,221,28,2958846,NA,52985,527,29209,294,2858819,1158,548804,8778,19.19687815143246,29946515,313109,1177214,7142,25.438463185113328,4.005,4.423,4.81,5.114,5/7/26,249,249,1.58,0.33,0,32.27,121.33108651143047,8.415443047728743,14.417670682730924,42.547770700636946,88.75502008032129
Missouri,MO,26861,1394,2572,843,1325,69,6154422,NA,65920,361,36754,192,5979440,1650,766582,11744,12.820297552948102,62486085,394655,2630328,9923,23.756004954515177,4.162,4.548,4.861,5.285,5/7/26,1394,1394,0.62,0.01,0,38.23,436.4504091529635,22.65038049064559,19.269010043041607,24.685212298682284,95.05021520803443
Montana,MT,4608,164,227,255,159,5,1091840,NA,66341,748,37837,460,1066145,564,132329,4021,12.411913951666987,8859095,117055,470973,3019,18.81019718752455,4.469,4.796,5.138,5.481,5/7/26,164,164,5.81,0.43,0,79.63,422.0398593200469,15.020515826494725,28.097560975609756,52.904564315352694,96.95121951219512
Nebraska,NE,6920,331,515,240,321,10,1958939,NA,71722,577,38585,300,1908613,865,198466,4850,10.398441171678073,17473485,158097,915345,3738,19.089507234976978,4.086,4.266,4.737,5.179,5/7/26,331,331,1.37,0.1,0,38.52,353.25244941266675,16.896901843293744,20.906344410876134,31.788079470198674,96.97885196374622
Nevada,NV,47361,687,1853,1174,649,38,3104817,NA,71646,495,37945,252,3063729,1385,389456,7392,12.71182927732838,32249110,218985,1305189,6290,24.70838323032143,5.239,5.537,5.841,6.172,5/7/26,687,687,1.01,0.07,0,70.96,1525.4039126943715,22.126907962691522,68.93886462882097,38.78427485959696,94.46870451237264
New Hampshire,NH,9861,335,525,332,299,36,1379610,NA,90845,966,48250,430,1340074,588,98162,3348,7.325117866625276,17021585,188163,630926,4434,26.978734431613216,4.494,4.993,5.449,5.773,5/7/26,335,335,0.85,0.12,0,12.9,714.7672168221454,24.282224686686817,29.435820895522387,38.739789964994166,89.25373134328358
New Jersey,NJ,134753,1934,4673,2075,1828,106,9249063,NA,97126,605,50995,277,9081112,1827,879179,13856,9.681402453796409,122290480,588758,3927757,11564,31.134940374366337,4.551,5.035,5.309,5.667,5/7/26,1934,1934,0.35,0.06,0,8.2,1456.9367729466217,20.91022625751387,69.67580144777664,30.749851807943095,94.51913133402275
New Mexico,NM,10276,509,757,577,461,48,2112463,NA,58722,581,32667,256,2070966,1038,378651,8012,18.283786406923145,18861435,256101,815212,5140,23.136846611678926,4.167,4.574,4.88,5.432,5/7/26,509,509,1.91,0.08,0,44.68,486.44638983025976,24.095096576839452,20.18860510805501,43.25337331334333,90.56974459724951
New York,NY,131250,5512,17845,3178,5244,268,19994379,NA,81386,350,47173,209,19516967,2775,2655662,26624,13.60694005374913,275523680,986828,8306205,21191,33.17082590665653,4.573,5.053,5.452,5.95,5/7/26,5512,5512,0.39,0.07,0,22.85,656.4344909136713,27.567747915551667,23.81168359941945,15.116776863435286,95.13788098693759
