State,State_Abbr,EV_Count,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,AFDC_Charging_Station_Count,Official_Charger_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,PlugShare_Station_Count,EVs_Per_10000_Residents,Chargers_Per_1000_EVs,PlugShare_Per_10000_Residents,AFDC_vs_PlugShare_Gap,EV_Adoption_Score,Official_Charging_Infrastructure_Score,Consumer_Facing_Charging_Visibility_Score,Median_Income_Score,Population_Score,Poverty_Rate_Score,Economic_Readiness_Score,EV_Opportunity_Score,Opportunity_Rank,Opportunity_Category,EV_Data_Available,AFDC_Data_Available,Census_Data_Available,PlugShare_Data_Available,PlugShare_Source,PlugShare_Scrape_Date
New Hampshire,NH,9861,1379610,90845,48250,39.04816048079266,3.5691697444346406,7.325117866625276,26.98,334,848,527,321,298,36,907,71.48,86,6.57,-573,19.32,15.95,20.51,83.25,2.07,100,63.92,29.81,18,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Delaware,DE,8435,993635,79325,42180,34.461651369859105,5.4437291986368255,11.122978097670458,25.86,253,768,467,301,231,22,868,84.89,91.05,8.74,-615,23.69,17.86,32.1,57.92,1.07,68.01,43.89,28.54,19,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
South Dakota,SD,1675,890342,69457,36850,30.367563290870596,3.1090296887551916,12.259809171566705,17.45,120,344,185,159,118,2,731,18.81,205.37,8.21,-611,2.17,60.94,29.28,36.22,0.81,58.43,32.26,28.45,20,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Rhode Island,RI,6396,1094250,81370,43324,36.2804103287505,5.880374403315949,11.222117744148305,25.3,364,917,791,126,333,31,607,58.45,143.37,5.55,-243,15.08,37.57,15.01,62.42,1.33,67.17,45.52,28.3,21,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Minnesota,MN,37050,5695292,84313,44947,38.19541233824559,3.967585166204092,9.262296155444911,23.3,1171,3291,2294,997,1126,45,4199,65.05,88.83,7.37,-3028,17.23,17.02,24.79,68.89,13.2,83.68,56.62,28.16,22,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Florida,FL,254878,21634529,67917,38850,32.33321867666608,5.038977766657859,12.873944935928622,27.89,4637,15829,10993,4836,4301,336,13654,117.81,62.1,6.31,-9017,34.4,6.95,19.1,32.83,54.3,53.26,45.4,28,23,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Michigan,MI,50284,10057921,68505,37929,31.135980297585668,6.026933481676181,13.13491329111057,24.48,2119,5935,4326,1609,2007,112,10451,49.99,118.03,10.39,-8332,12.33,28.03,40.97,34.13,24.45,51.06,36.3,26.54,24,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Arizona,AZ,89798,7172282,72581,38334,31.79887348920128,5.366159376588977,13.065050808119269,25.55,1581,4973,3530,1443,1480,101,4707,125.2,55.38,6.56,-3126,36.81,4.42,20.45,43.09,17.01,51.65,37.83,26.51,25,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Georgia,GA,92368,10722325,71355,37836,33.63367520555638,5.245745428703817,13.530059460373929,28.44,2484,8311,6165,2146,2365,119,7694,86.15,89.98,7.18,-5210,24.1,17.45,23.74,40.39,26.16,47.73,38.33,25.94,26,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
Illinois,IL,99573,12757634,78433,43198,36.67159211270079,5.955906641825619,11.763222409065586,28.41,1872,6125,3613,2512,1739,133,7841,78.05,61.51,6.15,-5969,21.46,6.73,18.22,55.96,31.41,62.62,50.59,24.57,27,Medium,TRUE,TRUE,TRUE,TRUE,PlugShare U.S. Directory,2026-05-04
