State,State_Abbr,EV_Count,EV_Data_Available,AFDC_Charging_Station_Count,Level2_Charger_Count,DC_Fast_Charger_Count,Public_Station_Count,Private_Station_Count,AFDC_Data_Available,Population,Median_Household_Income,Per_Capita_Income,Pct_Bachelors_or_Higher,Unemployment_Rate,Poverty_Rate,Average_Commute_Time,Census_Data_Available,PlugShare_Station_Count,PlugShare_Source,PlugShare_Scrape_Date,PlugShare_Data_Available
Nevada,NV,47361,TRUE,685,1851,1173,647,38,TRUE,3104817,71646,37945,26.549382753295795,7.01720446995714,12.71182927732838,24.70838323032143,TRUE,2777,PlugShare U.S. Directory,2026-05-04,TRUE
New Hampshire,NH,9861,TRUE,334,527,321,298,36,TRUE,1379610,90845,48250,39.04816048079266,3.5691697444346406,7.325117866625276,26.978734431613216,TRUE,907,PlugShare U.S. Directory,2026-05-04,TRUE
New Jersey,NJ,134753,TRUE,1926,4645,2074,1820,106,TRUE,9249063,97126,50995,42.25247755446824,6.24745164234484,9.681402453796409,31.134940374366337,TRUE,6587,PlugShare U.S. Directory,2026-05-04,TRUE
New Mexico,NM,10276,TRUE,508,756,574,460,48,TRUE,2112463,58722,32667,29.074668667724847,6.2305713339087285,18.283786406923145,23.136846611678926,TRUE,1744,PlugShare U.S. Directory,2026-05-04,TRUE
New York,NY,131250,TRUE,5509,17853,3168,5241,268,TRUE,19994379,81386,47173,38.79253659727761,6.225910474590347,13.60694005374913,33.17082590665653,TRUE,20955,PlugShare U.S. Directory,2026-05-04,TRUE
North Carolina,NC,70164,TRUE,2013,4420,1787,1904,109,TRUE,10470214,66186,37641,33.86575669760874,5.075744756954977,13.326107839513536,25.009544993367925,TRUE,6248,PlugShare U.S. Directory,2026-05-04,TRUE
North Dakota,ND,959,TRUE,113,136,147,109,4,TRUE,776874,73959,40748,31.42560285705256,2.9237606214460277,10.763530000959008,17.895139327308893,TRUE,584,PlugShare U.S. Directory,2026-05-04,TRUE
Ohio,OH,50393,TRUE,2064,4235,1486,1920,144,TRUE,11774683,66990,37729,30.370645802810277,5.013970845036947,13.305625102635451,23.63920204826003,TRUE,5537,PlugShare U.S. Directory,2026-05-04,TRUE
Oklahoma,OK,22843,TRUE,435,911,995,391,44,TRUE,3970497,61364,33630,27.2668071835271,4.8730324978043456,15.229635767011064,22.312489746781697,TRUE,1857,PlugShare U.S. Directory,2026-05-04,TRUE
Oregon,OR,64361,TRUE,1734,3228,1261,1632,102,TRUE,4229374,76632,41805,35.48265877451072,5.5304157626039965,11.910194035527306,23.302579999671963,TRUE,4488,PlugShare U.S. Directory,2026-05-04,TRUE
